oid	time	aircraftId	flightNumber	latitude	longitude	altitude	direction	verticalRate	v
5a736d96e9630e33cfa71c30	Thu Feb 01 2018 12:42:14 GMT-0700 (MST)	aa7734	SWA767  	39.762035	-105.266418	38000	250	0	0
5a736d9be9630e33cfa71c31	Thu Feb 01 2018 12:42:19 GMT-0700 (MST)	a11f9d	UAL1219 	39.770554	-105.054749	16475	245	576	0
5a736d9be9630e33cfa71c32	Thu Feb 01 2018 12:42:19 GMT-0700 (MST)	aa7734	SWA767  	39.762035	-105.266418	38000	250	0	0
5a736da0e9630e33cfa71c33	Thu Feb 01 2018 12:42:24 GMT-0700 (MST)	a11f9d	UAL1219 	39.770554	-105.054749	16950	245	576	0
5a736da0e9630e33cfa71c34	Thu Feb 01 2018 12:42:24 GMT-0700 (MST)	aa7734	SWA767  	39.762035	-105.266418	38000	250	0	0
5a736da5e9630e33cfa71c35	Thu Feb 01 2018 12:42:29 GMT-0700 (MST)	a11f9d	UAL1219 	39.733475	-105.150803	17000	244	1856	0
5a736da5e9630e33cfa71c36	Thu Feb 01 2018 12:42:29 GMT-0700 (MST)	aa7734	SWA767  	39.762035	-105.266418	38000	250	0	0
5a736daae9630e33cfa71c37	Thu Feb 01 2018 12:42:34 GMT-0700 (MST)	a11f9d	UAL1219 	39.733475	-105.150803	17000	244	1856	0
5a736daae9630e33cfa71c38	Thu Feb 01 2018 12:42:34 GMT-0700 (MST)	aa7734	SWA767  	39.762035	-105.266418	38000	250	0	0
5a736dafe9630e33cfa71c39	Thu Feb 01 2018 12:42:39 GMT-0700 (MST)	a11f9d	UAL1219 	39.733475	-105.150803	17000	244	1856	0
5a736dafe9630e33cfa71c3a	Thu Feb 01 2018 12:42:39 GMT-0700 (MST)	aa7734	SWA767  	39.762035	-105.266418	38000	250	0	0
5a736db4e9630e33cfa71c3b	Thu Feb 01 2018 12:42:44 GMT-0700 (MST)	a11f9d	UAL1219 	39.733475	-105.150803	17000	244	1856	0
5a736db4e9630e33cfa71c3c	Thu Feb 01 2018 12:42:44 GMT-0700 (MST)	aa7734	SWA767  	39.762035	-105.266418	38000	250	0	0
5a736db9e9630e33cfa71c3d	Thu Feb 01 2018 12:42:49 GMT-0700 (MST)	a11f9d	UAL1219 	39.733475	-105.150803	17000	244	1856	0
5a736db9e9630e33cfa71c3e	Thu Feb 01 2018 12:42:49 GMT-0700 (MST)	aa7734	SWA767  	39.762035	-105.266418	38000	250	0	0
5a736dbee9630e33cfa71c3f	Thu Feb 01 2018 12:42:54 GMT-0700 (MST)	a11f9d	UAL1219 	39.733475	-105.150803	17000	244	1856	0
5a736dbee9630e33cfa71c40	Thu Feb 01 2018 12:42:54 GMT-0700 (MST)	aa7734	SWA767  	39.762035	-105.266418	38000	250	0	0
5a736dc3e9630e33cfa71c41	Thu Feb 01 2018 12:42:59 GMT-0700 (MST)	a028e5		39.836746	-104.884504	39900	239	64	0
5a736dc3e9630e33cfa71c42	Thu Feb 01 2018 12:42:59 GMT-0700 (MST)	a11f9d	UAL1219 	39.733475	-105.150803	17000	244	1856	0
5a736dc3e9630e33cfa71c43	Thu Feb 01 2018 12:42:59 GMT-0700 (MST)	aa7734	SWA767  	39.7274	-105.388123	37950	250	0	0
5a736dc8e9630e33cfa71c44	Thu Feb 01 2018 12:43:04 GMT-0700 (MST)	a028e5		39.833221	-104.891968	39900	239	64	0
5a736dc8e9630e33cfa71c45	Thu Feb 01 2018 12:43:04 GMT-0700 (MST)	a11f9d	UAL1219 	39.733475	-105.150803	17000	244	1856	0
5a736dc8e9630e33cfa71c46	Thu Feb 01 2018 12:43:04 GMT-0700 (MST)	aa7734	SWA767  	39.7274	-105.388123	37950	250	0	0
5a736dcde9630e33cfa71c47	Thu Feb 01 2018 12:43:09 GMT-0700 (MST)	a028e5		39.831631	-104.895264	39900	239	64	0
5a736dcde9630e33cfa71c48	Thu Feb 01 2018 12:43:09 GMT-0700 (MST)	a11f9d	UAL1219 	39.733475	-105.150803	17000	244	1856	0
5a736dcde9630e33cfa71c49	Thu Feb 01 2018 12:43:09 GMT-0700 (MST)	aa7734	SWA767  	39.7274	-105.388123	37950	250	0	0
5a736dd2e9630e33cfa71c4a	Thu Feb 01 2018 12:43:14 GMT-0700 (MST)	a028e5		39.831631	-104.895264	39900	239	64	0
5a736dd2e9630e33cfa71c4b	Thu Feb 01 2018 12:43:14 GMT-0700 (MST)	acd135		39.948477	-105.000707	14475	273	1664	0
5a736dd2e9630e33cfa71c4c	Thu Feb 01 2018 12:43:14 GMT-0700 (MST)	a11f9d	UAL1219 	39.733475	-105.150803	17000	244	1856	0
5a736dd2e9630e33cfa71c4d	Thu Feb 01 2018 12:43:14 GMT-0700 (MST)	aa7734	SWA767  	39.7274	-105.388123	37950	250	0	0
5a736dd7e9630e33cfa71c4e	Thu Feb 01 2018 12:43:19 GMT-0700 (MST)	a028e5		39.831631	-104.895264	39900	239	64	0
5a736dd7e9630e33cfa71c4f	Thu Feb 01 2018 12:43:19 GMT-0700 (MST)	acd135		39.948477	-105.000707	14475	273	1664	0
5a736dd7e9630e33cfa71c50	Thu Feb 01 2018 12:43:19 GMT-0700 (MST)	a11f9d	UAL1219 	39.733475	-105.150803	17000	244	1856	0
5a736dd7e9630e33cfa71c51	Thu Feb 01 2018 12:43:19 GMT-0700 (MST)	aa7734	SWA767  	39.7274	-105.388123	37950	250	0	0
5a736ddce9630e33cfa71c52	Thu Feb 01 2018 12:43:24 GMT-0700 (MST)	a028e5		39.831631	-104.895264	39900	239	64	0
5a736ddce9630e33cfa71c53	Thu Feb 01 2018 12:43:24 GMT-0700 (MST)	acd135		39.948477	-105.000707	14475	273	1664	0
5a736ddce9630e33cfa71c54	Thu Feb 01 2018 12:43:24 GMT-0700 (MST)	a11f9d	UAL1219 	39.733475	-105.150803	17000	244	1856	0
5a736ddce9630e33cfa71c55	Thu Feb 01 2018 12:43:24 GMT-0700 (MST)	aa7734	SWA767  	39.7274	-105.388123	37950	250	0	0
5a736de1e9630e33cfa71c56	Thu Feb 01 2018 12:43:29 GMT-0700 (MST)	a028e5		39.831631	-104.895264	39900	239	64	0
5a736de1e9630e33cfa71c57	Thu Feb 01 2018 12:43:29 GMT-0700 (MST)	acd135		39.948477	-105.000707	14475	273	1664	0
5a736de1e9630e33cfa71c58	Thu Feb 01 2018 12:43:29 GMT-0700 (MST)	aa7734	SWA767  	39.7274	-105.388123	37950	250	0	0
5a736de6e9630e33cfa71c59	Thu Feb 01 2018 12:43:34 GMT-0700 (MST)	a028e5		39.831631	-104.895264	39900	239	64	0
5a736de6e9630e33cfa71c5a	Thu Feb 01 2018 12:43:34 GMT-0700 (MST)	acd135		39.948477	-105.000707	14475	273	1664	0
5a736de6e9630e33cfa71c5b	Thu Feb 01 2018 12:43:34 GMT-0700 (MST)	aa7734	SWA767  	39.7274	-105.388123	37950	250	0	0
5a736debe9630e33cfa71c5c	Thu Feb 01 2018 12:43:39 GMT-0700 (MST)	a028e5		39.831631	-104.895264	39875	239	64	0
5a736debe9630e33cfa71c5d	Thu Feb 01 2018 12:43:39 GMT-0700 (MST)	acd135		39.94986	-105.036316	15025	274	1280	0
5a736debe9630e33cfa71c5e	Thu Feb 01 2018 12:43:39 GMT-0700 (MST)	aa7734	SWA767  	39.7274	-105.388123	37950	250	0	0
5a736df0e9630e33cfa71c5f	Thu Feb 01 2018 12:43:44 GMT-0700 (MST)	a028e5		39.831631	-104.895264	39875	239	64	0
5a736df0e9630e33cfa71c60	Thu Feb 01 2018 12:43:44 GMT-0700 (MST)	acd135		39.950199	-105.044091	15125	273	1216	0
5a736df0e9630e33cfa71c61	Thu Feb 01 2018 12:43:44 GMT-0700 (MST)	aa7734	SWA767  	39.7274	-105.388123	37950	250	0	0
5a736df5e9630e33cfa71c62	Thu Feb 01 2018 12:43:49 GMT-0700 (MST)	a028e5		39.831631	-104.895264	39875	239	64	0
5a736df5e9630e33cfa71c63	Thu Feb 01 2018 12:43:49 GMT-0700 (MST)	acd135		39.950293	-105.04715	15175	273	1280	0
5a736df5e9630e33cfa71c64	Thu Feb 01 2018 12:43:49 GMT-0700 (MST)	aa7734	SWA767  	39.7274	-105.388123	37950	250	0	0
5a736dfae9630e33cfa71c65	Thu Feb 01 2018 12:43:54 GMT-0700 (MST)	a028e5		39.789093	-104.985411	39925	239	64	0
5a736dfae9630e33cfa71c66	Thu Feb 01 2018 12:43:54 GMT-0700 (MST)	acd135		39.950665	-105.056763	15300	274	1152	0
5a736dfae9630e33cfa71c67	Thu Feb 01 2018 12:43:54 GMT-0700 (MST)	aa7734	SWA767  	39.7274	-105.388123	37950	250	0	0
5a736dffe9630e33cfa71c68	Thu Feb 01 2018 12:43:59 GMT-0700 (MST)	a028e5		39.783961	-104.996155	39925	239	0	0
5a736dffe9630e33cfa71c69	Thu Feb 01 2018 12:43:59 GMT-0700 (MST)	acd135		39.950665	-105.056763	15300	273	1152	0
5a736e04e9630e33cfa71c6a	Thu Feb 01 2018 12:44:04 GMT-0700 (MST)	a028e5		39.783961	-104.996155	39925	239	0	0
5a736e04e9630e33cfa71c6b	Thu Feb 01 2018 12:44:04 GMT-0700 (MST)	acd135		39.951187	-105.071533	15475	273	1152	0
